FIPS,y,BreachesPer100K,CensusMean,OpProfitMargin,CapitalExp,OpIncome,AR,BadDebt,BedUtil,OutpatientVisits,ALOS,Pop2020,PopDensity,Native,Hispanic,Black,Asian,Prop65,UE2019,Poverty,AcuteBeds,CMI,PedTrauma,MedCenter
1003,0,0,94,0.213,2053702,34273870,49075004,32471282,0.7725,87995,4.4,223234,54.21529313,0.007,0.045,0.094,0.007525735,0.21,2.7,9.8,296,1.557,0,0
1015,0,0,139.7,-0.068,4200965,-11602463,188327988,22020596,0.514,95000,5,113605,72.39724149,0.002,0.037,0.205,0.009374587,0.181,3.5,19.5,397,1.313,0,0
1031,0,0,30,0.112,1924693,6499752,14788522,24562298,0.303,35041,3.5,52342,29.76402491,0.011,0.069,0.171,0.012724007,0.173,2.9,13.8,99,1.39,0,0
1033,0,0,73.6,-0.08,863485,-8409238,14970351,25701685,0.428,51224,4.1,55241,35.98287942,0.007,0.025,0.157,0.004833367,0.2,3.7,13.8,300,1.27,0,0
1047,0,0,43.8,0.012,2074106,772951,6646282,48277811,0.402,28531,3.8,37196,14.67344369,0,0.01,0.702,0.006022153,0.189,5.5,31.4,109,1.32,0,0
1055,0,0,149.3,0.079,5232206,14496125,69037023,40142609,0.673,55550,5.8,102268,73.7665516,0.004,0.038,0.154,0.007226112,0.194,3.3,17.5,478,1.695,0,0
1069,1,0.944447593,145.7,0.143,4414934,33156662,66285065,22538961,0.714,96962,4.8,105882,70.5008331,0.003,0.033,0.267,0.008245027,0.181,3,16.5,577,1.895,0,0
1071,0,0,25.1,-0.244,3634311,-10054590,19246055,8846924,0.558,62144,4.8,51626,18.4908595,0.01,0.029,0.035,0.004164568,0.205,3.3,19.7,45,1.21,0,0
1073,2,0.303686911,430.83,0.0002,39644298.7,-19051770.1,219297640.9,69473449,0.6393,295654.4,5.72,658573,228.7931078,0.002,0.038,0.425,0.015563954,0.163,2.9,16.1,3085,1.82,0,1
1077,0,0,158.3,0.087,4864775,16900384,25022036,24509536,0.71,106496,5.2,92729,53.59605233,0.005,0.026,0.099,0.006599877,0.205,3.3,14,233,1.74,0,0
1081,0,0,196.2,-0.092,15921623,-31608230,80052710,19609761,0.631,166181,4.7,164542,104.5674491,0.001,0.037,0.228,0.039971557,0.124,2.7,19,299,1.74,0,0
1089,0,0,549.5666667,0.006666667,515530557,-35944235.33,111517458.7,187293318.7,0.619333333,510286.6667,4.7,372909,179.6207205,0.005,0.048,0.239,0.024330333,0.153,2.5,11.9,1060,1.845,0,0
1095,0,0,95.4,0.002,15423671,386526,27321470,24839018,0.497,210352,5.5,96774,66.03336484,0.004,0.136,0.026,0.005890012,0.173,2.5,18.3,204,1.38,0,0
1097,0,0,255.2666667,0.013333333,11653267.67,490783.3333,92430858.67,52274799.33,0.706333333,92949,6.233333333,413210,129.7748486,0.007,0.029,0.354,0.019643765,0.166,3.7,20.8,1341,1.91,0,1
1101,0,0,285.8,-0.055,13141909,-30942406,164621218,65923210,0.874,163739,6.9,226486,111.3545112,0.001,0.034,0.575,0.026950893,0.156,3.1,20.1,797,1.67,0,0
1103,0,0,120,-0.109,799033,-20942292,18267558,37781657,0.393,39916,5.4,119679,79.75341233,0.006,0.081,0.127,0.006475656,0.178,2.6,13.2,222,1.47,0,0
1117,0,0,121,0.076,11839735,12532728,82444441,11480808,0.571,48483,5.2,217702,107.0255299,0.002,0.057,0.119,0.019517506,0.16,2.2,8,212,1.75,0,0
1125,0,0,390.3,-0.056,13859774,-27414484,57673888,181068098,0.765,251474,5,209355,61.19685377,0.001,0.036,0.315,0.015772253,0.138,2.7,16.8,524,1.63,0,0
1127,0,0,68.2,0.114,2851351,11520313,37909403,8538612,0.33,42676,4.6,63521,31.00572636,0.001,0.024,0.061,0.005021961,0.195,3.3,17.9,207,1.36,0,0
2020,0,0,182.2,0.247,10338962,99081917,57504652,17207771.5,0.6285,101567.5,6.25,291845,66.03481177,0.14,0.069,0.031,0.0636,0.125,6.1,11.1,729,2.006666667,1,0
4003,0,0,35.5,0.02,1753852,2304101,14247815,618910,0.48,49897,3.2,125922,7.886800255,0.01,0.353,0.035,0.018757644,0.231,5.7,15.1,135,1.098,0,0
4005,0,0,138.7,0.068,31812895,30780114,74093366,15088864,0.573,60952,5,143476,2.975313638,0.259,0.14,0.012,0.020268198,0.13,5.5,15.9,340,1.577,0,0
4007,0,0,10.4,-0.042,1095701,-1746948,8611705,1675503,0.414,25839,2.9,54018,4.383456182,0.157,0.187,0.006,0.008997001,0.294,5.5,20.4,58,1.19,0,0
4013,2,0.044588972,373.4727273,-0.017954545,96322071.14,-7633526.364,346529922.7,31212840.32,0.650636364,186196.5455,5.022727273,4485414,188.2575129,0.016,0.308,0.052,0.039403275,0.155,4,12.3,7932,1.926,1,1
4015,0,0,66.6,0.1735,11089513.75,27599157.75,106238588.5,10378807,0.475,93161.5,4.475,212181,6.154543825,0.021,0.162,0.01,0.011838949,0.311,5.7,16.8,551,1.673,0,0
4019,3,0.286456618,201.6428571,0.019571429,17015120.43,-3177857,150735645.3,14674234.57,0.559571429,133766.8571,4.871428571,1047279,44.01294143,0.025,0.37,0.032,0.028144363,0.203,4.4,16.2,2307,1.663,1,1
4021,0,0,71.6,0.01,4291915,1238621,57362235,6245855,0.507,28440,4.9,462789,33.30026202,0.042,0.299,0.042,0.016398402,0.209,4.9,12.9,262,1.324,0,0
4025,0,0,83.4,0.054,33721138,7004113,30931049.5,9391014,0.5365,174635,3.95,235099,11.17401499,0.012,0.144,0.005,0.009557676,0.325,4.4,13.2,293,1.66,0,0
4027,0,0,163.5,0.096,84869754,61524971,210949001,34993627,0.403,447765,5.1,213787,14.96989611,0.009,0.634,0.017,0.01278843,0.193,16.4,19.5,406,1.96,0,0
5005,0,0,85.9,-0.012,5454088,-2950758,22287974,10168479,0.508,169028,3.6,41932,29.21198346,0.003,0.022,0.002,0.004101879,0.311,4,15.1,170,1.74,0,0
5007,0,0,76.6,0.1035,18774446,19750749.5,56218888.5,13442323,0.3955,133607,4.05,279141,127.1617306,0.013,0.164,0.016,0.035329815,0.136,2.6,8.6,275,1.41,0,0
5009,0,0,20.3,-0.133,2736723,-10979495,10906281,4025690,0.169,65228,3.8,37432,24.49628197,0.008,0.024,0.004,0.005129301,0.209,3.2,14.8,120,1.39,0,0
5031,0,0,227.4333333,-0.081666667,10254179.33,-28404794.67,57304277.33,19201078,0.682666667,248479.3333,4.7,110332,60.22926166,0.002,0.05,0.138,0.012036399,0.14,2.8,17.9,561,1.903,0,0
5045,1,0.793606704,64.4,-0.1455,26459683,-16289042,32728814.5,5829656,0.5065,80307,4.45,126007,75.08664188,0.003,0.04,0.113,0.012967534,0.129,3,15.4,249,1.62,0,0
5051,0,0,106.9,0.0975,5616019.5,23741047.5,31760369.5,12956417.5,0.626,77855.5,4.55,99386,56.62083167,0.008,0.055,0.081,0.005262311,0.243,3.7,20.4,356,1.57,0,0
5063,0,0,84.6,-0.049,15886808,-11538179,28022265,10446556,0.498,147913,4.4,37825,19.11674746,0.002,0.062,0.018,0.00623926,0.18,4,14.5,184,1.58,0,0
5069,0,0,103.3,-0.106,8284920,-20586127,21462007,6927793,0.381,107500,5,66824,29.65681723,0.003,0.02,0.566,0.009891656,0.18,5.5,22.2,271,1.52,0,0
5115,0,0,55.7,0.109,2384698,11115158,13012619,9814634,0.406,45557,4.6,64072,30.44643033,0.005,0.087,0.029,0.010207267,0.162,4.3,16,137,1.58,0,0
5119,1,0.255159973,396.85,-0.056333333,24810661.17,-29793420,266354417.3,20743475.08,0.591333333,225798.5,6.066666667,391911,199.3870001,0.002,0.061,0.363,0.021923345,0.161,3.4,16.7,1978,1.92,1,0
5121,0,0,7,-0.196,6561340,-3590641,2234451,1843289,0.184,15886,3.1,17958,10.63074469,0.004,0.02,0.011,0,0.197,3.9,17.4,32,1.07,0,0
5125,0,0,41.6,-0.087,2089602,-8955230,16298606,5238676,0.32,34956,4.1,122437,65.33537401,0.003,0.046,0.07,0.011458954,0.182,2.8,9.7,130,1.43,0,0
5131,0,0,168.25,0.057,5385158.5,24678797.5,147325106.5,11386187,0.5665,253170.5,4.65,127827,92.78952173,0.011,0.14,0.069,0.04373098,0.164,3.3,15.6,592,1.725,0,0
5139,0,0,43.3,0.107,5855768,8153498,24128561,7110293,0.386,29918,4.8,38682,14.37161316,0.008,0.039,0.326,0.005868363,0.184,5.2,18.2,111,1.63,0,0
5143,0,0,168.55,0.03,24666665.5,7057346.5,70263639,31033683,0.496,100319.5,4.7,239187,98.0353421,0.009,0.167,0.035,0.023814003,0.121,2.4,15.2,615,2.07,0,0
5145,0,0,140.2,-0.063,22314186,-17144208,24501474,7584606,0.649,323566,4.7,78753,29.3761078,0.003,0.043,0.04,0.007009257,0.168,4.5,16.6,216,1.36,0,0
6001,3,0.179497873,1057.95,1.654375,212882157.1,-275650366.8,691578516.1,73302045.88,0.59275,812438.375,5.1375,1671329,875.2255651,0.003,0.225,0.105,0.291046227,0.143,2.9,9,2376,1.691,0,0
6005,0,0,23.6,-0.004,1568440,-371766,41733320,2270894,0.454,57180,4.1,39752,25.81410042,0.007,0.136,0.02,0.012552828,0.275,3.8,11.8,52,1.43,0,0
6007,1,0.456233519,208.7,0.038,21812034,29083532,290973380,26902557,0.7,220029,4.3,219186,51.71386024,0.008,0.16,0.015,0.046312264,0.184,5.1,18.5,455,1.47,0,0
6013,0,0,113.7,0.014666667,21305160.33,9386412.667,265852287.7,7910127.667,0.426666667,60843.66667,4.633333333,1153526,621.0992217,0.002,0.254,0.083,0.160434182,0.163,3.1,7.8,1513,1.647,0,0
6015,0,0,15.1,-0.07,5269643,-6174411,38925344,1460191,0.388,51262,3.4,27812,10.67181155,0.067,0.195,0.028,0.035128721,0.184,5.7,20.4,39,1.45,0,0
6019,1,0.100089981,374.7666667,-0.012333333,22451878,-30171501.67,511385422,7838082,0.838,161544,5.333333333,999101,64.74465933,0.005,0.527,0.045,0.100106996,0.126,7.2,21.3,1672,1.677,0,0
6023,1,0.737691615,55.4,0.038,8416169.5,3777562.5,30226513.5,6007447,0.6255,59871.5,5.4,135558,14.66835445,0.044,0.113,0.01,0.030687971,0.186,3.6,20.3,217,1.363,0,0
6025,1,0.551830698,75.8,-0.205,9542248,-32676137,118302142,9130112,0.471,95464,6.4,181215,16.75234286,0.006,0.838,0.022,0.014811136,0.133,18.3,21.4,268,1.535,0,0
6029,0,0,122.75,0.0015,16558309,4519204,206319620.8,8397931.25,0.4535,90741.5,4.325,900202,42.73964985,0.005,0.528,0.051,0.046480679,0.112,7.7,20.5,1387,1.516,0,0
6031,0,0,134.9,-0.052,11391331,-16292212,192198355,8519718,0.574,134360,4.9,152940,42.47290595,0.008,0.541,0.059,0.038877991,0.105,7.9,18.8,230,1.57,0,0
6033,0,0,15.45,-0.1685,7025970.5,-17865975,47685798,5275639,0.6175,61417.5,3.25,64386,19.78450898,0.033,0.2,0.022,0.010266207,0.231,5,18.4,50,1.32,0,0
6037,7,0.069727317,248.2282051,-0.097,55571825.1,-64188510.51,311181906.7,19440598.42,0.572384615,164119.0256,5.105128205,10039107,955.1346683,0.002,0.485,0.079,0.146424179,0.141,4.4,14.2,19274,1.734,0,1
6041,0,0,50.85,-0.1755,58486712.5,-39368448,110519356.5,7016638,0.3145,59813.5,4.1,258826,192.0107247,0.002,0.159,0.022,0.057953992,0.23,2.3,6.6,381,1.62,0,0
6045,0,0,22.4,-0.251,2425699,-29564801.5,52421612.5,2877215.5,0.56,82039,3.85,86749,9.55235375,0.032,0.248,0.006,0.019469965,0.231,4,17.5,100,1.457,0,0
6047,0,0,61.45,0.079,5216825,10477590.5,120477947.5,8352947.5,0.5145,43233,3.7,277680,55.38865572,0.003,0.589,0.03,0.072497119,0.114,8.1,21.2,226,1.49,0,0
6053,0,0,135.8,0.102,29763561,67510429,260067930,15694671,0.598,203589,4.6,434061,51.06830131,0.002,0.583,0.024,0.056079675,0.14,6.2,13.3,691,1.505,0,0
6055,0,0,50.35,-0.295,14287355,-49673561,66241652.5,6717769,0.371,74020,5.15,137744,71.07114792,0.002,0.339,0.02,0.08256621,0.197,2.8,8.8,269,1.98,0,0
6057,0,0,42.6,-0.05,4882317,-8586079,104891241,5379762,0.409,62337,4,99755,40.21426661,0.006,0.094,0.006,0.010104757,0.284,3.3,10.3,129,1.5,0,0
6059,3,0.0944676,247.0333333,-0.048666667,42096845.67,-35993646.8,398874943.3,21373934.73,0.518333333,202190.7333,4.853333333,3175692,1546.632295,0.002,0.341,0.016,0.200168026,0.153,2.8,10.5,5305,1.682,0,1
6061,1,0.251048756,574.4666667,-0.049666667,120553196.7,-192891797,1204609992,51134212.67,0.595,687108.6667,4.066666667,398329,109.3011659,0.003,0.138,0.015,0.069126275,0.199,3.1,7.1,677,1.623,0,0
6065,2,0.080953765,160.83,0.0315,90638418.5,12858127.5,155897784.9,16754278,0.6533,44619.4,4.87,2470546,132.3631955,0.004,0.484,0.061,0.061577481,0.148,4.2,12.7,3363,1.667,0,0
6067,3,0.193291746,489.375,-0.0075,92513657,-62639829.88,1156661562,39729179.63,0.634125,710150.875,5.1625,1552058,620.7013181,0.004,0.23,0.095,0.151717268,0.145,3.7,14.3,2640,1.926,0,1
6071,3,0.137609313,478.3,-0.129181818,119606659.2,-84867835.82,1036703120,111079954.1,0.548,224646,4.745454545,2180085,41.96110828,0.003,0.528,0.079,0.068729889,0.119,3.8,14.9,3684,1.582,0,1
6073,0,0,397.7461538,-0.013615385,45750647.54,-16569439.38,697640405.5,19352660.92,0.668307692,308690.2308,5.1,3338330,306.2505618,0.004,0.335,0.047,0.116950092,0.145,3.2,11.5,5110,1.905,0,1
6075,4,0.453746757,693.24,-0.1544,93436179.9,-94184645.7,1675406115,65990746.9,0.5593,587044.7,5.61,881549,7262.978817,0.002,0.152,0.05,0.33766359,0.161,2.2,10.1,2369,1.781,0,1
6077,1,0.131208112,96.26666667,-0.12,7305044.667,-25996277,277819056.8,17821714.67,0.536666667,64142.33333,4.566666667,762148,211.3400954,0.002,0.411,0.068,0.14826123,0.131,5.9,14.3,1259,1.653,0,0
6079,0,0,49.46666667,0.014666667,9040067,986510.3333,74534933.33,4361736,0.396333333,48017.66667,4.466666667,283111,33.11777426,0.005,0.224,0.017,0.036148366,0.209,2.9,12.7,435,1.697,0,0
6081,0,0,78.8,-0.0555,8988184,-12358768,196241936,5563942,0.326,111768.5,4.2,766573,659.7237264,0.002,0.247,0.022,0.280908668,0.166,2,6.8,1058,1.837,0,0
6083,1,0.223964667,176.35,0.0015,23073737,-333979.5,234181594,12107446.5,0.553,187994,4.25,446499,63.02942695,0.003,0.451,0.018,0.053444689,0.157,3.7,12.6,697,1.588,0,0
6085,4,0.207484807,409.6333333,-0.129555556,120332026.3,-511436884.6,1166278952,40798496.17,0.642111111,561317.8889,5.855555556,1927852,576.5286136,0.002,0.258,0.024,0.357483873,0.139,2.5,7.3,3212,1.844,0,1
