"M","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","FIPS","y","BreachesPer100K","OpProfitMargin","CapitalExp","OpIncome","AR","BadDebt","BedUtil","OutpatientVisits","ALOS","PopDensity","Native","Hispanic","Black","Asian","Prop65","UE2019","Poverty","AcuteBeds","CMI","PedTrauma","MedCenter"
21017,"21","017","00516855","0500000US21017","21017","Bourbon","06",750439351,4829777,21017,0,0,0.051,2333036,1569716,3151354,3597687,0.322,35463,4.3,26.36855327,0,0.069,0.071,0.004497675,0.197,3.8,16.5,34,1.21,0,0
21093,"21","093","00516893","0500000US21093","21093","Hardin","06",1614569777,17463238,21093,0,0,-0.002,3323379,-618366,289243510,7446365,0.519,255915,4.9,68.7229512,0.002,0.057,0.112,0.020557328,0.144,4.1,13.4,270,1.63,0,0
21151,"21","151","00516919","0500000US21151","21151","Madison","06",1132729653,15306635,21151,0,0,-0.059,1468495,-6884666,107155296,4001722,0.592,55224,3.8,82.0910795,0.004,0.024,0.043,0.009657264,0.142,3.9,16.5,85,1.575,0,0
21155,"21","155","00516921","0500000US21155","21155","Marion","06",888463701,9891797,21155,0,0,0.11,736166,4903652,4932019,4370508,0.141,33180,3.6,21.69250131,0.001,0.027,0.074,0.002334873,0.169,3.9,17.1,63,1.26,0,0
21179,"21","179","00516936","0500000US21179","21179","Nelson","06",1081354961,16997384,21179,0,0,0.026,3147624,1986298,25922659,3895824,0.406,34995,3.6,42.75469357,0.001,0.021,0.049,0.005948132,0.161,4.5,12.2,40,1.63,0,0
17091,"17","091","00424247","0500000US17091","17091","Kankakee","06",1752121058,12440760,17091,1,0.910232838,-0.059,13957336,-11948941,57460348.5,9484993,0.391,162652,4.5,62.70228846,0.002,0.102,0.149,0.009593854,0.173,5,16.2,460,1.625,0,0
17197,"17","197","01785190","0500000US17197","17197","Will","06",-2130039652,34548925,17197,0,0,-0.055,9934500.5,-16602166.5,142637743.5,8360864.5,0.4675,81623,4.6,319.0605478,0.001,0.171,0.11,0.053219504,0.135,3.8,6.4,752,1.513,0,0
18027,"18","027","00450343","0500000US18027","18027","Daviess","06",1112374406,19124393,18027,0,0,-0.178,3225109,-10154960,22814867,3628487,0.205,47335,3.4,29.98181172,0,0.048,0.017,0.001319301,0.154,2.6,11.5,42,1.21,0,0
1055,"01","055","00161553","0500000US01055","01055","Etowah","06",1386373604,34568854,1055,0,0,0.079,5232206,14496125,69037023,40142609,0.673,55550,5.8,73.7665516,0.004,0.038,0.154,0.007226112,0.194,3.3,17.5,478,1.695,0,0
1089,"01","089","00161570","0500000US01089","01089","Madison","06",2076091216,28831382,1089,0,0,0.006666667,515530557,-35944235.33,111517458.7,187293318.7,0.619333333,510286.6667,4.7,179.6207205,0.005,0.048,0.239,0.024330333,0.153,2.5,11.9,1060,1.845,0,0
1117,"01","117","00161584","0500000US01117","01117","Shelby","06",2034112797,62537787,1117,0,0,0.076,11839735,12532728,82444441,11480808,0.571,48483,5.2,107.0255299,0.002,0.057,0.119,0.019517506,0.16,2.2,8,212,1.75,0,0
5063,"05","063","00069163","0500000US05063","05063","Independence","06",1978631568,19593589,5063,0,0,-0.049,15886808,-11538179,28022265,10446556,0.498,147913,4.4,19.11674746,0.002,0.062,0.018,0.00623926,0.18,4,14.5,184,1.58,0,0
